,id,timestamp,sid,event,act,div_id,course_id
0,618300904,2022-08-23 13:30:58.000000,rocco111,default,donate,no params,APCompSciACCHS
1,618300931,2022-08-23 13:31:02.096938,rocco111,page,view,index.html,APCompSciACCHS
2,619139638,2022-08-24 14:53:09.526176,rocco111,page,view,index.html,APCompSciACCHS
3,619191924,2022-08-24 15:38:20.635729,rocco111,page,view,index.html,APCompSciACCHS
4,729618305,2023-01-12 17:37:35.492105,rocco111,page,view,index.html,APCompSciACCHS
5,736005470,2023-01-23 14:28:04.372436,rocco111,page,view,Unit7-ArrayList/topic-7-5-searching.html,APCompSciACCHS
6,793424212,2023-04-24 16:23:22.792443,rocco111,mChoice,answer:4:correct,qtnt1_7,APCompSciACCHS
7,793426218,2023-04-24 16:25:25.764571,rocco111,mChoice,answer:4:correct,qtnt1_19,APCompSciACCHS
8,793417985,2023-04-24 16:16:56.459697,rocco111,page,view,index.html,APCompSciACCHS
9,793425016,2023-04-24 16:24:11.240473,rocco111,mChoice,answer:1:correct,qtnt1_10,APCompSciACCHS
10,793420871,2023-04-24 16:19:51.536617,rocco111,mChoice,answer:1:correct,qtnt1_2,APCompSciACCHS
11,793422648,2023-04-24 16:21:43.109040,rocco111,mChoice,answer:0:correct,qtnt1_3,APCompSciACCHS
12,793424007,2023-04-24 16:23:13.102710,rocco111,mChoice,answer:2:correct,qtnt1_6,APCompSciACCHS
13,793423764,2023-04-24 16:22:56.684531,rocco111,mChoice,answer:3:correct,qtnt1_4,APCompSciACCHS
14,793426330,2023-04-24 16:25:32.846243,rocco111,mChoice,answer:4:correct,qtnt1_20,APCompSciACCHS
15,793420817,2023-04-24 16:19:47.702255,rocco111,mChoice,answer:2:no,qtnt1_2,APCompSciACCHS
16,793420796,2023-04-24 16:19:46.151863,rocco111,mChoice,answer:4:no,qtnt1_2,APCompSciACCHS
17,793424810,2023-04-24 16:23:56.982368,rocco111,mChoice,answer:2:no,qtnt1_9,APCompSciACCHS
18,793418213,2023-04-24 16:17:10.400863,rocco111,page,view,Tests/test1nt.html,APCompSciACCHS
19,793425530,2023-04-24 16:24:40.376837,rocco111,mChoice,answer:2:correct,qtnt1_14,APCompSciACCHS
20,793420537,2023-04-24 16:19:28.071503,rocco111,mChoice,answer:3:no,qtnt1_2,APCompSciACCHS
21,793421120,2023-04-24 16:20:09.373904,rocco111,mChoice,answer:1:no,qtnt1_1,APCompSciACCHS
22,793424381,2023-04-24 16:23:32.082952,rocco111,mChoice,answer:2:correct,qtnt1_8,APCompSciACCHS
23,793423891,2023-04-24 16:23:06.236107,rocco111,mChoice,answer:3:correct,qtnt1_5,APCompSciACCHS
24,793425699,2023-04-24 16:24:50.676940,rocco111,mChoice,answer:3:correct,qtnt1_15,APCompSciACCHS
25,793421150,2023-04-24 16:20:11.336697,rocco111,mChoice,answer:3:correct,qtnt1_1,APCompSciACCHS
26,793424846,2023-04-24 16:23:58.608477,rocco111,mChoice,answer:1:correct,qtnt1_9,APCompSciACCHS
27,793425150,2023-04-24 16:24:20.543867,rocco111,mChoice,answer:2:correct,qtnt1_11,APCompSciACCHS
28,793425834,2023-04-24 16:24:57.846253,rocco111,mChoice,answer:0:correct,qtnt1_16,APCompSciACCHS
29,793425286,2023-04-24 16:24:26.860119,rocco111,mChoice,answer:2:correct,qtnt1_12,APCompSciACCHS
30,793425974,2023-04-24 16:25:07.075501,rocco111,mChoice,answer:4:correct,qtnt1_17,APCompSciACCHS
31,793426140,2023-04-24 16:25:19.276724,rocco111,mChoice,answer:3:correct,qtnt1_18,APCompSciACCHS
32,793508888,2023-04-24 18:01:07.619116,rocco111,page,view,Tests/test1nt.html,APCompSciACCHS
33,793794399,2023-04-25 08:07:44.899425,rocco111,page,view,Tests/test1nt.html,APCompSciACCHS
34,795591627,2023-04-28 16:30:36.880712,rocco111,mChoice,answer:4:correct,qtnt2_3,APCompSciACCHS
35,795591556,2023-04-28 16:30:26.876208,rocco111,mChoice,answer:4:correct,qtnt2_1,APCompSciACCHS
36,795591612,2023-04-28 16:30:34.547571,rocco111,mChoice,answer:3:correct,qtnt2_2,APCompSciACCHS
37,795591799,2023-04-28 16:31:08.391450,rocco111,mChoice,answer:3:no,qtnt2_9,APCompSciACCHS
38,795591807,2023-04-28 16:31:09.090039,rocco111,mChoice,answer:4:no,qtnt2_9,APCompSciACCHS
39,795591858,2023-04-28 16:31:18.150377,rocco111,mChoice,answer:0:correct,qtnt2_10,APCompSciACCHS
40,795591987,2023-04-28 16:31:43.159954,rocco111,mChoice,answer:2:correct,qtnt2_14,APCompSciACCHS
41,795592154,2023-04-28 16:32:04.798991,rocco111,mChoice,answer:3:no,qtnt2_17,APCompSciACCHS
42,795591706,2023-04-28 16:30:50.702995,rocco111,mChoice,answer:3:no,qtnt2_7,APCompSciACCHS
43,795591740,2023-04-28 16:30:58.203049,rocco111,mChoice,answer:3:no,qtnt2_8,APCompSciACCHS
44,795592180,2023-04-28 16:32:09.242511,rocco111,mChoice,answer:4:no,qtnt2_19,APCompSciACCHS
45,795592186,2023-04-28 16:32:10.313278,rocco111,mChoice,answer:3:no,qtnt2_19,APCompSciACCHS
46,795592222,2023-04-28 16:32:15.526661,rocco111,mChoice,answer:1:no,qtnt2_20,APCompSciACCHS
47,795591894,2023-04-28 16:31:23.991356,rocco111,mChoice,answer:2:no,qtnt2_11,APCompSciACCHS
48,795591548,2023-04-28 16:30:25.780938,rocco111,mChoice,answer:3:no,qtnt2_1,APCompSciACCHS
49,795591608,2023-04-28 16:30:33.684501,rocco111,mChoice,answer:4:no,qtnt2_2,APCompSciACCHS
50,795591837,2023-04-28 16:31:12.932506,rocco111,mChoice,answer:3:no,qtnt2_10,APCompSciACCHS
51,795591981,2023-04-28 16:31:42.027610,rocco111,mChoice,answer:4:no,qtnt2_14,APCompSciACCHS
52,795592161,2023-04-28 16:32:05.548287,rocco111,mChoice,answer:4:correct,qtnt2_17,APCompSciACCHS
53,795591685,2023-04-28 16:30:47.763137,rocco111,mChoice,answer:3:correct,qtnt2_6,APCompSciACCHS
54,795592142,2023-04-28 16:32:02.940062,rocco111,mChoice,answer:1:correct,qtnt2_18,APCompSciACCHS
55,795591590,2023-04-28 16:30:32.506434,rocco111,mChoice,answer:2:no,qtnt2_2,APCompSciACCHS
56,795591736,2023-04-28 16:30:57.252418,rocco111,mChoice,answer:4:no,qtnt2_8,APCompSciACCHS
57,795591775,2023-04-28 16:31:05.174847,rocco111,mChoice,answer:1:correct,qtnt2_8,APCompSciACCHS
58,795591960,2023-04-28 16:31:38.098323,rocco111,mChoice,answer:3:correct,qtnt2_12,APCompSciACCHS
59,795591871,2023-04-28 16:31:20.117240,rocco111,mChoice,answer:3:no,qtnt2_11,APCompSciACCHS
60,795592210,2023-04-28 16:32:13.549926,rocco111,mChoice,answer:0:correct,qtnt2_19,APCompSciACCHS
61,795591743,2023-04-28 16:30:59.104743,rocco111,mChoice,answer:2:no,qtnt2_8,APCompSciACCHS
62,795592014,2023-04-28 16:31:46.067850,rocco111,mChoice,answer:1:no,qtnt2_15,APCompSciACCHS
63,795591649,2023-04-28 16:30:41.540611,rocco111,mChoice,answer:1:correct,qtnt2_4,APCompSciACCHS
64,795591763,2023-04-28 16:31:03.164324,rocco111,mChoice,answer:0:no,qtnt2_8,APCompSciACCHS
65,795591897,2023-04-28 16:31:25.034730,rocco111,mChoice,answer:1:correct,qtnt2_11,APCompSciACCHS
66,795592191,2023-04-28 16:32:11.300066,rocco111,mChoice,answer:2:no,qtnt2_19,APCompSciACCHS
67,795591576,2023-04-28 16:30:30.319642,rocco111,mChoice,answer:4:correct,qtnt2_1,APCompSciACCHS
68,795591664,2023-04-28 16:30:44.431046,rocco111,mChoice,answer:0:correct,qtnt2_5,APCompSciACCHS
69,795591791,2023-04-28 16:31:07.550341,rocco111,mChoice,answer:1:no,qtnt2_9,APCompSciACCHS
70,795591954,2023-04-28 16:31:36.586893,rocco111,mChoice,answer:4:no,qtnt2_12,APCompSciACCHS
71,795591970,2023-04-28 16:31:40.524076,rocco111,mChoice,answer:3:no,qtnt2_14,APCompSciACCHS
72,795592112,2023-04-28 16:31:59.264166,rocco111,mChoice,answer:3:no,qtnt2_18,APCompSciACCHS
73,795591937,2023-04-28 16:31:33.263915,rocco111,mChoice,answer:4:correct,qtnt2_13,APCompSciACCHS
74,795591823,2023-04-28 16:31:10.887910,rocco111,mChoice,answer:2:correct,qtnt2_9,APCompSciACCHS
75,795591948,2023-04-28 16:31:35.208179,rocco111,mChoice,answer:1:no,qtnt2_12,APCompSciACCHS
76,795592020,2023-04-28 16:31:46.937356,rocco111,mChoice,answer:4:no,qtnt2_15,APCompSciACCHS
77,795592057,2023-04-28 16:31:52.685045,rocco111,mChoice,answer:0:correct,qtnt2_16,APCompSciACCHS
78,795591529,2023-04-28 16:30:21.687977,rocco111,page,view,Tests/test2nt.html,APCompSciACCHS
79,795591918,2023-04-28 16:31:28.901542,rocco111,mChoice,answer:1:no,qtnt2_13,APCompSciACCHS
